,id,gender,state,region,education,income,vehicle_class,policy_type,monthly_premium,customer_lifetime_value,total_claim_amount,open_complaints
771,jb36584,m,arizona,central,master,41459.0,four-door car,personal auto,71.0,14334,340.8,0
772,wq23548,f,california,west,master,50510.55,suv,personal auto,102.0,11004,489.6,1
773,wz98067,m,oregon,north west,college,42512.0,four-door car,personal auto,105.0,4050,77.48,1
774,aq11656,m,arizona,central,bachelor,50510.55,four-door car,personal auto,61.0,2142,437.04,0
775,kl14426,f,nevada,central,doctor,83288.0,suv,personal auto,124.0,5080,353.4,0
776,pg48617,m,california,west,high school or below,46267.0,four-door car,personal auto,72.0,2896,231.97,0
777,qb24570,f,oregon,north west,master,50510.55,sports car,corporate auto,122.0,9031,650.52,0
778,ni68379,m,oregon,north west,master,74424.0,four-door car,personal auto,81.0,6554,388.8,0
779,rs92763,f,oregon,north west,college,50510.55,four-door car,personal auto,72.0,7488,693.08,0
780,pa75237,m,nevada,central,doctor,58883.0,two-door car,corporate auto,62.0,15119,432.48,0
781,lr35392,m,oregon,north west,high school or below,41539.0,four-door car,personal auto,116.0,9007,556.8,0
782,kc22636,f,california,west,high school or below,33881.0,four-door car,personal auto,68.0,5489,65.66,0
783,ij98317,f,california,west,bachelor,86448.0,four-door car,personal auto,90.0,7234,59.85,0
784,dy49235,f,arizona,central,college,25237.0,four-door car,personal auto,69.0,5206,378.35,0
785,eg94409,f,nevada,central,high school or below,50510.55,four-door car,special auto,67.0,4697,482.4,0
786,gb59748,f,arizona,central,college,49419.0,four-door car,personal auto,77.0,6207,203.3,0
787,mp68135,m,oregon,north west,college,90414.0,four-door car,personal auto,83.0,6616,398.4,1
788,cz56843,m,california,west,college,39930.0,four-door car,personal auto,86.0,9709,412.8,1
789,dj47372,m,california,west,doctor,23202.0,four-door car,personal auto,96.0,10831,460.8,0
790,xz51937,f,california,west,master,79487.0,suv,personal auto,114.0,4627,547.2,0
791,iz27630,m,oregon,north west,master,68423.0,two-door car,personal auto,85.0,6748,324.41,0
792,im14119,f,arizona,central,bachelor,84495.0,two-door car,special auto,63.0,2542,302.4,0
793,pn53766,m,california,west,doctor,43091.0,four-door car,corporate auto,69.0,5450,330.14,1
794,dq93036,m,arizona,central,high school or below,41951.0,four-door car,personal auto,91.0,7244,40.54,0
795,wa70405,m,nevada,central,college,89834.0,suv,personal auto,105.0,8307,504.0,0
796,nf51705,m,nevada,central,high school or below,92157.0,two-door car,corporate auto,69.0,2735,270.38,0
797,lr37068,f,oregon,north west,college,35773.0,four-door car,personal auto,93.0,11031,446.4,0
798,ec18611,m,nevada,central,high school or below,50510.55,two-door car,personal auto,99.0,3402,475.2,0
799,np88319,f,oregon,north west,high school or below,15850.0,two-door car,corporate auto,61.0,6945,314.53,0
800,aa11235,f,nevada,central,bachelor,11167.0,two-door car,personal auto,73.0,2569,350.4,3
801,dl55489,m,oregon,north west,high school or below,21195.0,four-door car,corporate auto,72.0,5765,345.6,0
802,uu53919,f,oregon,north west,master,27430.0,two-door car,personal auto,68.0,5404,184.96,0
803,ji11950,f,california,west,high school or below,50510.55,two-door car,personal auto,63.0,4899,302.4,0
804,qb82117,m,oregon,north west,high school or below,50510.55,sports car,personal auto,119.0,9049,571.2,0
805,mr33456,m,washington,east,high school or below,59839.0,suv,personal auto,107.0,8094,513.6,2
806,yn17362,m,california,west,college,50510.55,two-door car,corporate auto,73.0,2497,350.4,0
807,ur73910,m,california,west,college,38166.0,four-door car,corporate auto,67.0,2602,236.84,1
808,kg63751,m,washington,east,high school or below,50510.55,four-door car,personal auto,95.0,6751,456.0,0
809,nk39001,f,oregon,north west,bachelor,13457.0,two-door car,personal auto,94.0,3622,285.83,0
810,hr85493,m,california,west,college,50510.55,two-door car,personal auto,68.0,6896,326.4,0
811,qc50643,f,california,west,bachelor,52721.0,suv,personal auto,136.0,5439,550.13,0
813,wk64739,f,arizona,central,bachelor,19864.0,four-door car,corporate auto,63.0,2359,352.39,0
814,qk88438,f,arizona,central,college,55289.0,four-door car,personal auto,67.0,5323,134.12,0
815,qx42433,m,california,west,college,30449.0,four-door car,personal auto,92.0,7391,501.09,0
816,bh52611,f,california,west,bachelor,27362.0,suv,personal auto,144.0,11448,422.78,0
817,sa77508,f,oregon,north west,high school or below,29460.0,four-door car,personal auto,72.0,5755,29.3,0
818,hd99234,f,oregon,north west,college,50510.55,four-door car,personal auto,94.0,10244,451.2,0
819,de37110,m,california,west,master,42532.0,sports car,personal auto,118.0,4646,200.64,0
820,dj93289,f,california,west,high school or below,66707.0,two-door car,personal auto,61.0,4887,71.98,0
821,ac40767,m,washington,east,bachelor,68041.0,two-door car,personal auto,64.0,2498,165.57,0
822,ga79817,m,arizona,central,bachelor,50510.55,four-door car,corporate auto,65.0,2369,468.0,0
823,qh62059,m,california,west,bachelor,50510.55,four-door car,personal auto,64.0,4491,307.2,1
824,zs35053,m,arizona,central,high school or below,40968.0,four-door car,personal auto,97.0,3719,465.6,1
825,ii37804,m,nevada,central,bachelor,39913.0,suv,personal auto,106.0,4198,344.77,0
826,ge63585,m,california,west,bachelor,31710.0,two-door car,corporate auto,62.0,2421,199.55,0
827,uv86903,f,california,west,bachelor,50510.55,two-door car,personal auto,73.0,4463,350.4,3
828,jl71713,f,california,west,bachelor,89113.0,four-door car,personal auto,78.0,6292,219.36,0
829,do60145,m,arizona,central,college,50510.55,suv,personal auto,122.0,4270,725.87,0
830,fc59209,f,california,west,bachelor,50510.55,four-door car,personal auto,67.0,2461,321.6,0
832,ey13576,f,oregon,north west,college,50510.55,suv,personal auto,110.0,7374,528.0,4
834,rc61383,m,oregon,north west,high school or below,28014.0,suv,personal auto,104.0,11926,631.59,0
835,po80505,f,nevada,central,college,14170.0,suv,personal auto,109.0,4223,523.2,0
836,md17521,m,oregon,north west,high school or below,64825.0,suv,personal auto,129.0,10298,359.48,0
837,yv93921,m,california,west,bachelor,77357.0,four-door car,personal auto,67.0,5230,29.88,0
838,jp64518,m,nevada,central,bachelor,21629.0,two-door car,corporate auto,62.0,2403,298.63,0
839,oi98135,m,washington,east,high school or below,25927.0,suv,personal auto,103.0,3934,674.97,0
840,xs97845,m,oregon,north west,college,44388.0,four-door car,personal auto,113.0,4300,496.84,1
841,dl20327,f,oregon,north west,college,54539.0,four-door car,personal auto,63.0,7636,287.45,0
842,gd86131,f,california,west,college,17576.0,four-door car,corporate auto,71.0,2722,398.5,0
843,id21061,f,arizona,central,master,84629.0,four-door car,personal auto,90.0,7292,411.67,0
845,be65350,f,oregon,north west,high school or below,43573.0,two-door car,personal auto,66.0,5261,409.68,0
847,yr84813,m,oregon,north west,college,50510.55,four-door car,special auto,105.0,10576,756.0,0
848,jz28301,f,oregon,north west,college,35011.0,four-door car,personal auto,70.0,5552,215.73,0
849,hl40930,m,oregon,north west,bachelor,63651.0,four-door car,personal auto,92.0,7150,224.71,0
850,hl33607,m,washington,east,college,83846.0,four-door car,personal auto,74.0,8717,355.2,3
852,ag32304,f,nevada,central,college,39133.0,four-door car,personal auto,67.0,5419,90.52,0
853,jx26859,m,california,west,doctor,31278.0,two-door car,personal auto,92.0,3528,441.6,4
855,zv32968,m,oregon,north west,high school or below,44788.0,four-door car,personal auto,61.0,7285,386.03,0
857,so95845,f,california,west,college,62447.0,two-door car,personal auto,74.0,5808,133.98,0
858,gl32197,m,oregon,north west,college,31475.0,four-door car,personal auto,64.0,5068,22.96,1
859,sc11374,f,nevada,central,college,80780.0,suv,corporate auto,109.0,8798,3.55,0
860,rt29777,f,oregon,north west,bachelor,88613.0,suv,personal auto,111.0,4440,359.37,0
861,ob73235,m,california,west,college,45949.0,two-door car,corporate auto,62.0,2404,110.56,0
862,mv41462,f,arizona,central,bachelor,35596.0,two-door car,personal auto,64.0,5067,307.2,0
863,fm67585,m,california,west,high school or below,76875.0,four-door car,personal auto,73.0,5891,17.38,0
864,kg57925,m,california,west,bachelor,41842.0,two-door car,corporate auto,61.0,2410,292.8,0
865,iy24560,m,california,west,bachelor,28884.0,four-door car,corporate auto,72.0,5288,518.4,1
867,xa77673,f,nevada,central,college,50510.55,four-door car,personal auto,74.0,16236,680.75,2
868,xn90861,f,arizona,central,bachelor,71560.0,two-door car,personal auto,69.0,5535,178.7,0
869,ws84995,m,nevada,central,master,50510.55,four-door car,personal auto,80.0,9203,384.0,0
870,zz49347,m,oregon,north west,high school or below,72421.0,four-door car,personal auto,65.0,2592,312.0,0
872,jo64487,f,california,west,high school or below,50510.55,four-door car,special auto,76.0,6944,547.2,5
873,to55363,f,oregon,north west,high school or below,57335.0,two-door car,personal auto,67.0,13368,407.89,0
874,ue67791,m,arizona,central,college,50510.55,two-door car,personal auto,67.0,5885,482.4,3
875,jn69287,m,california,west,high school or below,35033.0,two-door car,personal auto,87.0,3480,490.64,0
876,at55072,m,arizona,central,college,65733.0,four-door car,personal auto,113.0,9104,684.95,0
877,lv34368,m,california,west,bachelor,50510.55,four-door car,special auto,69.0,4813,472.61,0
878,qu40939,f,arizona,central,college,50510.55,four-door car,personal auto,88.0,9576,633.6,0
880,kw33804,m,nevada,central,high school or below,86180.0,four-door car,personal auto,69.0,8091,48.05,4
881,ia42992,m,arizona,central,high school or below,36881.0,suv,special auto,104.0,8267,499.2,0
882,cz19025,f,oregon,north west,high school or below,47888.0,four-door car,personal auto,64.0,2489,545.08,1
883,en54716,f,oregon,north west,doctor,21986.0,two-door car,personal auto,63.0,2396,333.7,0
884,uf27940,f,washington,east,college,47199.0,suv,corporate auto,100.0,3863,480.0,3
885,qd36118,f,oregon,north west,college,50510.55,four-door car,personal auto,69.0,5173,331.2,0
886,xi52305,m,california,west,bachelor,86305.0,four-door car,personal auto,62.0,4985,80.73,0
887,hz25580,f,washington,east,high school or below,39062.0,two-door car,corporate auto,61.0,2396,346.99,0
888,jy97451,f,california,west,college,16976.0,four-door car,personal auto,69.0,2632,238.95,0
889,us78266,f,california,west,high school or below,50510.55,four-door car,corporate auto,65.0,6994,468.0,2
891,xq12791,m,california,west,high school or below,41972.0,four-door car,personal auto,86.0,3402,691.71,0
892,eu59853,m,california,west,college,34080.0,four-door car,personal auto,107.0,4127,220.64,1
893,qr21417,f,california,west,bachelor,50510.55,two-door car,corporate auto,73.0,4463,350.4,3
894,ci27304,m,california,west,college,40269.0,four-door car,personal auto,81.0,9320,329.98,2
895,wj52097,f,oregon,north west,bachelor,61894.0,four-door car,corporate auto,91.0,3664,436.8,0
896,ft65961,f,california,west,college,23300.0,four-door car,corporate auto,63.0,4962,339.91,1
897,dp87594,f,oregon,north west,bachelor,66023.0,two-door car,personal auto,70.0,2817,265.63,0
898,kp96020,f,arizona,central,bachelor,39660.0,sports car,corporate auto,107.0,4331,416.85,0
899,hq15974,f,nevada,central,college,50510.55,four-door car,personal auto,76.0,8263,32.51,1
900,ve98553,m,oregon,north west,bachelor,60466.0,four-door car,personal auto,117.0,4667,784.19,0
901,me44353,f,oregon,north west,college,32848.0,four-door car,personal auto,74.0,5876,250.45,0
902,ae62631,m,oregon,north west,bachelor,20662.0,two-door car,personal auto,72.0,8428,373.32,0
903,gx29162,f,arizona,central,high school or below,64985.0,two-door car,personal auto,108.0,13024,16.43,0
904,ly69932,m,oregon,north west,high school or below,68022.0,sports car,personal auto,103.0,8210,494.4,0
905,yy74036,m,california,west,college,72834.0,four-door car,corporate auto,65.0,2464,91.94,3
906,dp92488,f,washington,east,doctor,74592.0,two-door car,personal auto,67.0,2728,321.6,0
907,fo74055,f,california,west,college,73938.0,two-door car,personal auto,76.0,3086,53.1,0
909,vf83291,f,oregon,north west,college,50510.55,four-door car,personal auto,69.0,4836,632.08,0
910,ou76593,m,oregon,north west,college,50510.55,four-door car,personal auto,96.0,6912,460.8,0
911,ho40387,m,california,west,master,50510.55,two-door car,personal auto,72.0,2571,345.6,3
912,gr37045,f,nevada,central,bachelor,50510.55,four-door car,corporate auto,80.0,2992,576.0,0
913,kz84621,f,nevada,central,high school or below,62375.0,suv,personal auto,103.0,8253,411.23,1
914,fr82361,m,arizona,central,doctor,61427.0,four-door car,personal auto,88.0,10478,422.4,0
916,ux32931,f,california,west,college,49312.0,four-door car,corporate auto,65.0,5185,230.1,1
917,qa68548,f,california,west,high school or below,50510.55,two-door car,personal auto,61.0,10635,292.8,0
918,qv40364,f,california,west,high school or below,28513.0,suv,personal auto,100.0,15114,480.0,1
919,ty87896,m,california,west,high school or below,50510.55,suv,personal auto,108.0,11876,518.4,0
920,cv75841,m,california,west,college,97321.0,four-door car,personal auto,110.0,4369,74.74,0
921,yo62357,f,california,west,college,58839.0,two-door car,personal auto,65.0,7433,18.97,3
922,yn19139,m,nevada,central,high school or below,50510.55,four-door car,corporate auto,72.0,2559,518.4,0
923,pe63707,m,nevada,central,bachelor,88567.0,four-door car,personal auto,67.0,5452,321.6,0
924,ns74173,m,nevada,central,college,91646.0,two-door car,corporate auto,74.0,2968,57.68,0
926,ac24378,f,arizona,central,high school or below,48552.0,four-door car,corporate auto,94.0,7477,262.75,0
927,xr71687,m,oregon,north west,bachelor,31485.0,suv,personal auto,118.0,9407,294.91,0
928,gj70481,m,arizona,central,high school or below,50510.55,four-door car,personal auto,64.0,4428,628.8,0
930,yi95434,f,california,west,college,51020.0,four-door car,personal auto,73.0,2908,350.4,0
931,rl34830,m,california,west,college,43838.0,four-door car,corporate auto,97.0,7645,465.6,0
932,ca96568,m,oregon,north west,college,50510.55,suv,corporate auto,133.0,9710,827.09,0
933,uo16539,m,washington,east,bachelor,22454.0,suv,personal auto,110.0,8440,556.1,2
934,np18074,f,arizona,central,bachelor,57933.0,suv,personal auto,105.0,4210,533.26,0
935,tw45475,m,nevada,central,college,50510.55,suv,personal auto,124.0,8556,595.2,3
937,dx80961,f,arizona,central,bachelor,85322.0,suv,personal auto,134.0,16266,735.49,0
938,jz15681,m,california,west,high school or below,37843.0,four-door car,personal auto,92.0,3625,354.46,0
939,zz31825,m,oregon,north west,bachelor,50510.55,four-door car,personal auto,67.0,2520,482.4,0
940,tf77410,m,arizona,central,college,74730.0,four-door car,personal auto,61.0,4819,421.24,0
941,hi16452,m,oregon,north west,high school or below,50510.55,four-door car,special auto,94.0,3029,483.88,1
942,cw98845,m,oregon,north west,bachelor,50510.55,four-door car,personal auto,64.0,2317,307.2,0
943,ni99807,m,oregon,north west,college,28432.0,suv,personal auto,118.0,13870,612.3,0
945,gu60969,m,arizona,central,bachelor,19581.0,four-door car,corporate auto,67.0,2342,321.6,0
946,fs67103,m,oregon,north west,bachelor,50510.55,two-door car,special auto,80.0,2748,576.0,0
947,fq24929,m,oregon,north west,master,56005.0,four-door car,personal auto,68.0,5480,326.4,1
948,ya12007,f,california,west,college,50510.55,four-door car,personal auto,80.0,9200,572.85,0
949,ew46828,m,arizona,central,high school or below,23671.0,four-door car,personal auto,69.0,8060,331.2,0
950,yp67379,m,arizona,central,high school or below,22244.0,four-door car,personal auto,84.0,6686,114.82,0
951,kh16079,f,washington,east,high school or below,50510.55,four-door car,personal auto,66.0,4710,470.58,0
952,sj87277,m,arizona,central,high school or below,75329.0,four-door car,corporate auto,67.0,2685,45.91,0
953,dw14769,f,arizona,central,high school or below,50510.55,two-door car,personal auto,108.0,3921,525.39,1
954,cn13435,f,california,west,college,44369.0,four-door car,personal auto,68.0,5494,185.29,0
955,ko95143,m,california,west,high school or below,37910.0,four-door car,personal auto,108.0,8522,518.4,0
956,gt66241,m,california,west,high school or below,50510.55,four-door car,personal auto,71.0,2414,511.2,0
957,pp97061,f,nevada,central,college,40864.0,suv,personal auto,109.0,4283,166.94,1
958,kp97208,f,oregon,north west,college,94846.0,two-door car,corporate auto,73.0,5918,305.03,0
959,sb24397,m,california,west,high school or below,96306.0,four-door car,personal auto,95.0,7519,185.36,1
960,em32982,f,arizona,central,doctor,53519.0,suv,corporate auto,111.0,4472,520.04,0
961,lb97434,m,arizona,central,bachelor,50648.0,two-door car,personal auto,69.0,5532,331.2,1
962,rr37715,m,oregon,north west,bachelor,64692.0,two-door car,corporate auto,70.0,8435,336.0,0
963,tc81636,m,arizona,central,high school or below,50510.55,suv,corporate auto,100.0,10196,720.0,0
965,hr48520,m,oregon,north west,bachelor,50510.55,suv,personal auto,109.0,3916,784.8,0
966,vi42566,m,oregon,north west,master,49311.0,four-door car,personal auto,74.0,6011,355.2,0
967,nu84299,m,arizona,central,high school or below,71126.0,four-door car,personal auto,71.0,2854,324.74,0
968,rt63209,f,california,west,master,74284.0,four-door car,personal auto,74.0,5994,268.13,0
969,am52614,f,oregon,north west,bachelor,41402.0,sports car,personal auto,119.0,4477,571.2,4
970,uo40192,m,nevada,central,high school or below,79619.0,four-door car,personal auto,71.0,5545,280.9,3
971,sd67101,f,nevada,central,high school or below,25147.0,suv,personal auto,101.0,3601,694.6,0
972,ew35231,f,oregon,north west,high school or below,56379.0,suv,corporate auto,125.0,9935,600.0,1
973,ct18212,f,california,west,bachelor,50510.55,four-door car,personal auto,96.0,6875,691.2,0
974,yl91587,m,arizona,central,high school or below,48911.0,two-door car,personal auto,61.0,2374,292.8,0
975,hs14476,m,washington,east,college,29723.0,four-door car,personal auto,80.0,9162,20.99,0
976,da28072,f,arizona,central,master,21841.0,four-door car,corporate auto,91.0,7380,436.8,0
977,jo98946,m,oregon,north west,bachelor,31796.0,four-door car,personal auto,68.0,2656,377.44,0
978,ba26944,m,nevada,central,bachelor,50510.55,suv,corporate auto,105.0,7591,504.0,0
979,ar47849,f,nevada,central,bachelor,48567.0,suv,personal auto,130.0,5015,624.0,0
980,fo82261,m,oregon,north west,college,66161.0,suv,personal auto,118.0,4604,457.59,0
981,qo56662,m,arizona,central,master,79751.0,two-door car,personal auto,63.0,2551,392.24,0
982,uf74084,m,arizona,central,bachelor,39469.0,two-door car,personal auto,71.0,5641,315.56,0
983,ox75108,f,arizona,central,master,44305.0,four-door car,personal auto,67.0,5464,214.77,0
984,qg25195,f,oregon,north west,bachelor,50510.55,four-door car,personal auto,68.0,4867,444.03,0
985,ht50748,f,oregon,north west,doctor,38893.0,two-door car,personal auto,69.0,2780,279.96,0
986,hc42288,f,california,west,college,39187.0,suv,corporate auto,118.0,4563,566.4,1
988,gj63345,f,arizona,central,bachelor,50510.55,four-door car,personal auto,64.0,2280,460.8,0
989,rk45396,m,california,west,bachelor,50510.55,four-door car,corporate auto,73.0,5380,350.4,0
990,ya71207,f,california,west,high school or below,30090.0,two-door car,corporate auto,73.0,8708,329.52,0
992,mc53402,m,washington,east,college,50510.55,two-door car,personal auto,66.0,2216,389.94,0
993,vu18023,f,california,west,high school or below,50510.55,four-door car,personal auto,70.0,7781,504.0,0
994,vn37592,m,arizona,central,high school or below,50332.0,four-door car,personal auto,72.0,2861,345.6,0
995,kl58949,m,california,west,bachelor,70190.0,two-door car,corporate auto,71.0,5578,15.17,0
996,ku14261,f,arizona,central,master,38179.0,four-door car,personal auto,90.0,7268,374.72,1
997,rl97327,m,washington,east,bachelor,50510.55,four-door car,personal auto,115.0,4061,699.82,1
998,to60700,f,washington,east,bachelor,25859.0,four-door car,special auto,74.0,7813,355.2,0
999,cr33417,f,washington,east,master,36529.0,suv,personal auto,118.0,4762,255.01,0
1000,zk90062,m,arizona,central,bachelor,67588.0,sports car,personal auto,118.0,14166,566.4,0
1001,jp44710,m,nevada,central,high school or below,50510.55,suv,personal auto,121.0,4354,871.2,0
1002,rr93140,f,california,west,college,81565.0,four-door car,personal auto,71.0,2880,190.64,0
1004,lr27773,f,california,west,bachelor,43671.0,four-door car,corporate auto,67.0,5329,190.65,0
1005,ct88432,f,arizona,central,bachelor,58682.0,four-door car,corporate auto,61.0,4884,206.81,0
1006,ok86731,m,oregon,north west,college,44230.0,sports car,personal auto,114.0,4510,738.22,0
1008,kl48832,f,nevada,central,college,31756.0,four-door car,corporate auto,66.0,5238,160.86,0
1009,ca54112,m,nevada,central,doctor,47725.0,two-door car,personal auto,63.0,15120,142.21,0
1010,vc43751,f,arizona,central,bachelor,38684.0,two-door car,personal auto,74.0,5860,376.76,0
1012,td58354,m,nevada,central,high school or below,50510.55,four-door car,personal auto,67.0,4655,482.4,0
1013,xm19715,f,oregon,north west,college,22268.0,two-door car,personal auto,67.0,5327,294.8,0
1014,kh19280,f,arizona,central,college,50037.0,four-door car,special auto,81.0,6514,303.38,0
1015,ge50763,m,washington,east,bachelor,50510.55,four-door car,corporate auto,104.0,3492,748.8,0
1016,vw63894,m,california,west,master,75740.0,four-door car,personal auto,98.0,7870,46.7,0
1017,yx36936,m,arizona,central,college,39621.0,suv,corporate auto,109.0,4275,25.29,1
1018,af49625,f,oregon,north west,bachelor,75838.0,two-door car,corporate auto,90.0,7189,428.91,0
1019,qn30162,f,oregon,north west,bachelor,11885.0,four-door car,special auto,101.0,11315,484.8,0
1020,ui21548,f,california,west,high school or below,29444.0,two-door car,personal auto,63.0,2481,302.4,0
1022,cq76030,m,oregon,north west,high school or below,26514.0,four-door car,personal auto,91.0,6975,655.2,0
1024,pp39078,f,california,west,college,31504.0,four-door car,special auto,71.0,5624,340.8,0
1025,lm86393,f,oregon,north west,high school or below,98680.0,four-door car,personal auto,72.0,2828,345.6,2
1026,nb81923,f,washington,east,college,50510.55,sports car,personal auto,113.0,7294,733.74,2
1027,sz61347,m,california,west,college,76927.0,suv,personal auto,138.0,5584,114.74,0
1029,ba38428,m,arizona,central,high school or below,73168.0,four-door car,corporate auto,70.0,5640,425.8,0
1030,fx80133,f,california,west,master,48569.0,four-door car,personal auto,114.0,4577,434.76,0
1031,mt41386,m,washington,east,bachelor,84768.0,two-door car,personal auto,72.0,2875,110.48,0
1032,kv53202,f,california,west,high school or below,50510.55,two-door car,corporate auto,86.0,3031,619.2,0
1033,db79694,f,arizona,central,high school or below,57693.0,four-door car,corporate auto,76.0,5980,547.2,0
1034,vy75186,m,california,west,college,50510.55,four-door car,personal auto,65.0,2242,85.61,0
1037,nw21079,f,washington,east,master,67163.0,two-door car,personal auto,61.0,4879,33.19,2
1038,fr81224,m,oregon,north west,master,89205.0,two-door car,personal auto,68.0,5495,165.52,0
1039,yk92213,m,oregon,north west,doctor,50510.55,sports car,personal auto,138.0,5060,570.78,0
1040,jv99867,f,california,west,bachelor,65448.0,four-door car,special auto,94.0,11269,451.2,0
1041,tn66124,m,california,west,high school or below,77627.0,two-door car,corporate auto,88.0,10553,205.17,0
1042,nt78297,f,oregon,north west,bachelor,37695.0,two-door car,personal auto,96.0,7517,460.8,0
1043,kg49115,f,california,west,college,89411.0,four-door car,personal auto,78.0,6298,116.24,0
1044,wc77067,m,nevada,central,college,50510.55,suv,corporate auto,114.0,7822,914.32,0
1046,gk67747,m,washington,east,college,10621.0,four-door car,special auto,67.0,4386,321.6,0
1047,qm39493,m,california,west,high school or below,16711.0,four-door car,personal auto,91.0,3500,580.62,1
1048,jd11661,f,oregon,north west,college,50510.55,suv,personal auto,106.0,7528,508.8,0
1049,pt73521,m,california,west,college,42968.0,four-door car,personal auto,69.0,2733,331.2,0
1051,py50779,m,arizona,central,high school or below,85412.0,four-door car,personal auto,88.0,7060,134.68,0
1052,fk97285,f,california,west,high school or below,75774.0,four-door car,corporate auto,92.0,3732,441.6,1
1053,jg12505,f,nevada,central,master,26599.0,suv,personal auto,101.0,4064,254.38,0
1054,fx65946,m,arizona,central,bachelor,34847.0,four-door car,personal auto,73.0,5755,525.6,0
1055,ou88023,f,california,west,high school or below,50510.55,suv,personal auto,115.0,8461,552.0,0
1056,xn32623,m,oregon,north west,bachelor,85896.0,four-door car,personal auto,70.0,5638,48.63,0
1057,ev78251,f,oregon,north west,doctor,50510.55,two-door car,personal auto,66.0,7164,316.8,0
1058,hc80108,f,california,west,college,43775.0,four-door car,personal auto,70.0,2804,310.74,0
1060,zj22132,f,oregon,north west,high school or below,42056.0,four-door car,personal auto,78.0,3131,221.95,0
1061,lg53863,f,oregon,north west,high school or below,13093.0,suv,personal auto,100.0,3742,514.51,0
1062,kr87696,f,california,west,college,98278.0,four-door car,personal auto,85.0,3439,367.58,0
1063,ln44535,f,washington,east,college,44605.0,four-door car,personal auto,91.0,7284,436.8,0
1064,fu63281,m,arizona,central,bachelor,32365.0,four-door car,personal auto,67.0,5279,193.15,0
1065,kv17007,m,california,west,college,82255.0,four-door car,personal auto,71.0,5680,145.0,0
1066,gr42174,m,oregon,north west,college,50510.55,four-door car,personal auto,62.0,2195,623.53,0
1067,sr71812,f,california,west,high school or below,50510.55,four-door car,personal auto,88.0,6473,468.49,0
1069,ob98149,f,washington,east,college,11417.0,two-door car,personal auto,63.0,4700,302.4,0
1072,lw80918,m,oregon,north west,doctor,69704.0,two-door car,personal auto,72.0,8654,89.92,0
1073,ec94366,m,oregon,north west,doctor,20101.0,four-door car,corporate auto,96.0,3776,291.54,0
1074,pi92163,m,nevada,central,bachelor,24383.0,four-door car,corporate auto,69.0,4897,331.2,2
1075,lz68649,m,washington,east,bachelor,22139.0,suv,personal auto,100.0,14948,480.0,0
1076,ib39821,m,arizona,central,bachelor,88708.0,sports car,personal auto,112.0,9011,499.66,0
1077,wi75766,f,arizona,central,high school or below,11828.0,four-door car,personal auto,90.0,10083,571.48,0
1078,dr27120,f,washington,east,bachelor,50510.55,two-door car,corporate auto,80.0,2939,384.0,1
1079,uq67668,m,nevada,central,high school or below,73168.0,four-door car,personal auto,70.0,5640,425.8,0
1080,pr64751,m,nevada,central,bachelor,50510.55,two-door car,corporate auto,71.0,2606,409.46,0
1082,zr72236,m,nevada,central,master,76646.0,two-door car,personal auto,65.0,5226,263.84,0
1083,sg52649,m,washington,east,high school or below,19683.0,sports car,corporate auto,117.0,8383,561.6,1
1084,sg96896,m,oregon,north west,high school or below,50510.55,four-door car,personal auto,71.0,14703,819.58,1
1086,nu64028,m,nevada,central,bachelor,35693.0,sports car,personal auto,103.0,12266,494.4,0
1087,pm63319,f,washington,east,college,50510.55,four-door car,personal auto,65.0,4530,438.37,0
1089,xf94149,m,california,west,college,24123.0,suv,personal auto,104.0,4088,748.8,0
1090,me99882,m,arizona,central,bachelor,85654.0,two-door car,personal auto,116.0,9248,346.27,0
1091,yz67161,m,oregon,north west,master,50510.55,suv,personal auto,125.0,13024,900.0,0
1093,um53032,m,california,west,college,84822.0,four-door car,corporate auto,76.0,6105,219.88,0
1094,lw43115,f,california,west,master,36650.0,four-door car,personal auto,69.0,2725,56.6,1
1095,yk93229,m,oregon,north west,high school or below,50510.55,two-door car,personal auto,90.0,3261,432.0,0
1097,ih43245,m,nevada,central,college,52113.0,four-door car,corporate auto,97.0,7600,465.6,0
1099,to14996,m,oregon,north west,high school or below,37595.0,four-door car,personal auto,70.0,5634,501.99,0
1100,xn34686,m,oregon,north west,high school or below,41396.0,four-door car,special auto,70.0,5640,336.0,0
1101,ka13067,m,oregon,north west,high school or below,77512.0,suv,corporate auto,104.0,8370,433.61,0
1102,lq76461,f,oregon,north west,high school or below,35334.0,four-door car,personal auto,65.0,5170,468.0,0
1103,bh60627,m,oregon,north west,college,50510.55,four-door car,personal auto,104.0,7521,499.2,0
1104,cd48033,m,oregon,north west,doctor,40870.0,suv,personal auto,105.0,12732,504.0,0
1105,ac58002,f,california,west,bachelor,53907.0,four-door car,corporate auto,71.0,5667,189.91,0
1106,vm21699,f,oregon,north west,bachelor,77609.0,sports car,corporate auto,111.0,4437,62.94,0
1108,rr66500,m,california,west,master,87462.0,four-door car,corporate auto,61.0,2436,51.29,1
1109,gj31412,m,oregon,north west,bachelor,99494.0,four-door car,personal auto,83.0,6651,398.4,0
1110,wo64354,f,california,west,bachelor,42585.0,two-door car,personal auto,69.0,2751,288.3,0
1111,ug37492,m,california,west,college,58842.0,four-door car,personal auto,110.0,4363,528.0,0
1112,pr51268,f,arizona,central,doctor,37384.0,four-door car,personal auto,99.0,4014,475.2,0
